Species	Phylum	Order	Genus	TaxID	B12 synthesis	DMB synthesis	B7 synthesis	B3 synthesis	PABA synthesis
Blautia schinkii	Firmicutes	Clostridiales	Blautia	180164	1	0	0	0	1
Calditerrivibrio nitroreducens	Deferribacteres	Deferribacterales	Calditerrivibrio	477976	1	0	0	1	0
Leifsonia sp. Leaf336	Actinobacteria	Micrococcales	Leifsonia	1736341	0	0	0	1	0
Agreia sp. Leaf335	Actinobacteria	Micrococcales	Agreia	1736340	0	0	0	1	1
Sphingomonas sp. Leaf339	Proteobacteria	Sphingomonadales	Sphingomonas	1736343	0	0	1	1	0
Arthrobacter sp. Leaf337	Actinobacteria	Micrococcales	Arthrobacter	1736342	0	0	0	1	0
Sphingomonas sp. Leaf343	Proteobacteria	Sphingomonadales	Sphingomonas	1736345	0	0	1	1	0
Rhizobium sp. Leaf341	Proteobacteria	Rhizobiales	Rhizobium	1736344	1	1	0	1	1
Microbacterium sp. Leaf347	Actinobacteria	Micrococcales	Microbacterium	1736347	0	0	0	1	0
Bosea sp. Leaf344	Proteobacteria	Rhizobiales	Bosea	1736346	1	1	0	0	1
Williamsia sp. Leaf354	Actinobacteria	Corynebacteriales	Williamsia	1736349	1	1	0	1	0
Microbacterium sp. Leaf351	Actinobacteria	Micrococcales	Microbacterium	1736348	0	0	0	1	0
Holdemania filiformis	Firmicutes	Erysipelotrichales	Holdemania	61171	0	0	0	0	0
Actinomyces sp. oral taxon 448	Actinobacteria	Actinomycetales	Actinomyces	712124	0	0	0	0	0
Streptomyces sp. NRRL B-24720	Actinobacteria	Streptomycetales	Streptomyces	1476876	1	1	0	1	0
Actinomyces sp. oral taxon 414	Actinobacteria	Actinomycetales	Actinomyces	712122	0	0	0	0	0
Serratia grimesii	Proteobacteria	Enterobacteriales	Serratia	82995	0	0	1	1	1
Serratia plymuthica	Proteobacteria	Enterobacteriales	Serratia	82996	0	0	1	1	1
Hymenobacter sp. MIMtkLc17	Bacteroidetes	Cytophagales	Hymenobacter	1629124	0	1	0	0	1
Roseburia intestinalis	Firmicutes	Clostridiales	Roseburia	166486	0	0	0	1	0
Pseudomonas sp. BRG-100	Proteobacteria	Pseudomonadales	Pseudomonas	1524267	1	1	1	1	1
Streptomyces himastatinicus	Actinobacteria	Streptomycetales	Streptomyces	998084	0	0	0	1	1
Thermus aquaticus	Deinococcus-Thermus	Thermales	Thermus	271	1	0	0	1	0
Thermus thermophilus	Deinococcus-Thermus	Thermales	Thermus	274	1	1	0	1	1
Thermus filiformis	Deinococcus-Thermus	Thermales	Thermus	276	1	0	0	1	1
Meiothermus ruber	Deinococcus-Thermus	Thermales	Meiothermus	277	0	0	0	0	1
Listeria fleischmannii	Firmicutes	Bacillales	Listeria	1069827	0	0	0	0	1
Clostridium sp. 12(A)	Firmicutes	Clostridiales	Clostridium	1163671	1	0	0	0	0
Bacteroides sp. 14(A)	Bacteroidetes	Bacteroidales	Bacteroides	1163670	0	0	0	0	0
Enterobacteriaceae bacterium LSJC7	Proteobacteria	Enterobacteriales	root	1224136	0	0	1	1	1
Streptomyces sp. JHA19	Actinobacteria	Streptomycetales	Streptomyces	1577588	1	1	0	1	0
Marinomonas mediterranea	Proteobacteria	Oceanospirillales	Marinomonas	119864	1	1	1	1	1
Mesotoga prima	Thermotogae	Kosmotogales	Mesotoga	1184387	0	0	0	0	0
Actinoplanes rectilineatus	Actinobacteria	Micromonosporales	Actinoplanes	113571	1	1	1	1	0
Bacillus sp. NRRL B-41092	Firmicutes	Bacillales	Bacillus	1793964	0	0	1	1	1
Cellulomonas sp. URHD0024	Actinobacteria	Micrococcales	Cellulomonas	1302620	0	0	0	1	0
