Species	Phylum	Order	Genus	TaxID	Num_Prot	B12_producer	niacin_synthesis	biotin_synthesis	anaerobic_synthesis	aerobic_synthesis	early_pathway	late_pathway	MCM_B12_related	METE_B12_related	METH_B12_related	RNR_I_B12_related	RNR_II_B12_related	bluB_B12_related	btuB_B12_transport	btuC_B12_transport	btuD_B12_transport	btuF_B12_transport	cbiZ_2_B12_related	cobA_aerobe_aerobic_synthesis	cobI_aerobic_synthesis	cobG_aerobic_synthesis	cobJ_aerobic_synthesis	cobM_aerobic_synthesis	cobF_aerobic_synthesis	cobK_aerobic_synthesis	cobL_aerobic_synthesis	cobH_aerobic_synthesis	cobB_aerobic_synthesis	cobN_aerobic_synthesis	cobS_aerobe_aerobic_synthesis	cobT_aerobe_aerobic_synthesis	cobR_aerobic_synthesis	cobO_aerobic_synthesis	cobQ_aerobic_synthesis	cobD_aerobic_synthesis	cobP_aerobic_synthesis	cobV_aerobic_synthesis	cobU_aerobe_aerobic_synthesis	cysG_anaerobic_synthesis	cbiXL_anaerobic_synthesis	cbiK_anaerobic_synthesis	cbiL_anaerobic_synthesis	cbiH_anaerobic_synthesis	cbiF_anaerobic_synthesis	cbiG_anaerobic_synthesis	cbiD_anaerobic_synthesis	cbiJ_anaerobic_synthesis	cbiE_anaerobic_synthesis	cbiT_anaerobic_synthesis	cbiC_anaerobic_synthesis	cbiA_anaerobic_synthesis	fldA_anaerobic_synthesis	cobA_anaerobe_anaerobic_synthesis	cbiP_anaerobic_synthesis	cbiB_anaerobic_synthesis	cobU_anaerobe_anaerobic_synthesis	cobS_anaerobe_anaerobic_synthesis	cobT_anaerobe_anaerobic_synthesis	cobC_anaerobic_synthesis	cblT_B12_related	cblS_B12_related	bzaA_anaerobic_DMB	bzaB_anaerobic_DMB	bzaC_anaerobic_DMB	bzaD_anaerobic_DMB	bzaE_anaerobic_DMB	B12_related	B12_transport	not_in
Blautia schinkii	Firmicutes	Clostridiales	Blautia	180164	5451	1	0	0	18	13	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	6	1	"bioB,cobP,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuC,btuB,cobG,cobN,cobO,nrdA,nrdB,nrdE,nrdF,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,RNR_I,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,bzaC,MCM,kynu,METE,nadC,nadA,nadB,cobT_aerobe,cbiZ_2"
Calditerrivibrio nitroreducens	Deferribacteres	Deferribacterales	Calditerrivibrio	477976	2071	1	1	0	15	11	1	0	1	0	1	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	7	3	"cobR,bluB,cbiXL,btuB,cobF,cobG,pabC,cobC,cobL,cobM,cobN,cobO,nrdB,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiZ,nadX,bzaC,kynu,METE,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Leifsonia sp. Leaf336	Actinobacteria	Micrococcales	Leifsonia	1736341	7697	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	2	"bioB,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,pabC,cobB,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,cbiF,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Agreia sp. Leaf335	Actinobacteria	Micrococcales	Agreia	1736340	5716	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	2	"bioB,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,cobB,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,cbiF,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Sphingomonas sp. Leaf339	Proteobacteria	Sphingomonadales	Sphingomonas	1736343	6924	0	1	1	2	5	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10	3	"cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,cobU_anaerobe,cobU_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Arthrobacter sp. Leaf337	Actinobacteria	Micrococcales	Arthrobacter	1736342	8785	0	1	0	3	3	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	8	2	"bioB,cobV,cobP,cobQ,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,pabC,cobB,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,had,cblS,bioD2,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cbiT,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiB,cbiC,MCM,METE,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Sphingomonas sp. Leaf343	Proteobacteria	Sphingomonadales	Sphingomonas	1736345	6435	0	1	1	9	11	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	10	3	"bluB,cbiXL,btuF,cbiD,cobF,cobG,pabC,cobB,cobL,cobN,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bzaE,fldA,bzaD,cbiT,cblT,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,cbiG,cbiA,cbiC,cbiE,cbiZ_2,nrdJ_alt"
Rhizobium sp. Leaf341	Proteobacteria	Rhizobiales	Rhizobium	1736344	4017	1	1	0	13	19	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	4	2	"bioB,cbiXL,btuF,btuB,cbiD,cobB,cobC,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,RNR_I,fldA,bzaD,METH,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,cbiA,kynu,METE,cbiZ_2,nrdJ_alt"
Microbacterium sp. Leaf347	Actinobacteria	Micrococcales	Microbacterium	1736347	3292	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	"bioB,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cbiF,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Bosea sp. Leaf344	Proteobacteria	Rhizobiales	Bosea	1736346	7738	1	0	0	15	19	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	6	3	"bioB,cbiXL,btuF,cobF,cobC,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,RNR_I,fldA,bzaD,cblT,cbiZ,cbiJ,cbiK,bzaC,cbiG,kynu,nadA,cbiZ_2,nrdJ_alt"
Williamsia sp. Leaf354	Actinobacteria	Corynebacteriales	Williamsia	1736349	7794	1	1	0	15	17	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	11	2	"cobV,btuF,cobS_anaerobe,btuB,cbiD,pabC,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,fldA,cobS_aerobe,bzaD,cblT,cbiZ,nadX,cbiJ,cbiK,bzaC,cbiG,cobT_aerobe,cbiZ_2,nrdJ_alt"
Microbacterium sp. Leaf351	Actinobacteria	Micrococcales	Microbacterium	1736348	2540	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	"bioB,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,pabC,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdD,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,bioF,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,cbiF,cobU_anaerobe,pabAB,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Holdemania filiformis	Firmicutes	Erysipelotrichales	Holdemania	61171	3248	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	"bioB,cobV,bioA,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,cobG,pabC,pabB,cobB,cobC,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cobA_aerobe,cbiT,cysG,cblT,cbiP,cbiL,cbiZ,pabA,cbiH,cbiJ,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,METE,nadC,cbiF,nadA,cobU_anaerobe,pabAB,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Actinomyces sp. oral taxon 448	Actinobacteria	Actinomycetales	Actinomyces	712124	2219	0	0	0	3	2	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	2	"bioB,cobV,cobP,cobQ,cobR,bluB,cbiXL,btuF,cobS_anaerobe,btuB,cobD,cbiD,cobF,pabC,cobB,cobL,cobM,cobN,cobO,cobH,cobI,cobJ,cobK,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bio1,bzaE,cobT_anaerobe,cobT_alt_dmb,fldA,cobA_anaerobe,cobS_aerobe,bzaD,METH,cbiT,cblT,cbiP,cbiL,cbiZ,pabA,nadX,cbiH,cbiJ,cbiK,bzaC,bzaB,bzaA,cbiG,cbiA,cbiB,cbiC,MCM,kynu,nadC,nadA,cobU_anaerobe,cobU_aerobe,cobT_aerobe,cbiE,cbiZ_2,nrdJ_alt"
Streptomyces sp. NRRL B-24720	Actinobacteria	Streptomycetales	Streptomyces	1476876	7521	1	1	0	17	14	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	9	2	"cobV,cobR,btuF,btuB,cobF,pabC,cobO,nrdB,nrdD,nrdF,nrdG,kmo,had,hpaB,cblS,bioD2,bioD1,bzaE,fldA,cobA_anaerobe,cobS_aerobe,bzaD,cblT,cbiK,bzaC,cbiG,METE,cobT_aerobe,cbiZ_2,nrdJ_alt"
Streptomyces sp. NRRL B-1347	Actinobacteria	Streptomycetales	Streptomyces	1476877	8163	1	1	0	17	16	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	11	2	"cobV,btuF,cobS_anaerobe,btuB,cobG,pabC,nrdD,nrdG,had,cblS,bioD2,bioD1,bzaE,fldA,cobS_aerobe,cblT,cbiZ,nadX,cbiK,bzaC,cbiG,cobT_aerobe,cbiZ_2,nrdJ_alt"
