Species	Phylum	Order	Genus	TaxID	Num_Prot	niacin_synthesis	nadB_niacin_asp	nadA_niacin_asp	nadC_niacin_asp	kmo_niacin_trp	hpaB_niacin_trp	kynu_niacin_trp	had_niacin_trp
Blautia schinkii	Firmicutes	Clostridiales	Blautia	180164	5451	0	0	0	0	0	0	0	0
Calditerrivibrio nitroreducens	Deferribacteres	Deferribacterales	Calditerrivibrio	477976	2071	1	1	1	1	0	0	0	0
Leifsonia sp. Leaf336	Actinobacteria	Micrococcales	Leifsonia	1736341	7697	1	1	1	1	1	0	1	0
Agreia sp. Leaf335	Actinobacteria	Micrococcales	Agreia	1736340	5716	1	1	1	1	0	0	1	0
Sphingomonas sp. Leaf339	Proteobacteria	Sphingomonadales	Sphingomonas	1736343	6924	1	1	1	1	0	0	1	0
Arthrobacter sp. Leaf337	Actinobacteria	Micrococcales	Arthrobacter	1736342	8785	1	1	1	1	1	1	1	0
Sphingomonas sp. Leaf343	Proteobacteria	Sphingomonadales	Sphingomonas	1736345	6435	1	1	1	1	0	0	1	0
Rhizobium sp. Leaf341	Proteobacteria	Rhizobiales	Rhizobium	1736344	4017	1	1	1	1	0	0	0	0
Microbacterium sp. Leaf347	Actinobacteria	Micrococcales	Microbacterium	1736347	3292	1	1	1	1	0	0	0	0
Bosea sp. Leaf344	Proteobacteria	Rhizobiales	Bosea	1736346	7738	0	1	0	1	0	0	0	0
Williamsia sp. Leaf354	Actinobacteria	Corynebacteriales	Williamsia	1736349	7794	1	1	1	1	0	0	1	0
Microbacterium sp. Leaf351	Actinobacteria	Micrococcales	Microbacterium	1736348	2540	1	1	1	1	0	0	0	0
Holdemania filiformis	Firmicutes	Erysipelotrichales	Holdemania	61171	3248	0	1	0	0	0	0	0	0
Actinomyces sp. oral taxon 448	Actinobacteria	Actinomycetales	Actinomyces	712124	2219	0	1	0	0	0	0	0	0
Streptomyces sp. NRRL B-24720	Actinobacteria	Streptomycetales	Streptomyces	1476876	7521	1	1	1	1	0	0	1	0
Streptomyces sp. NRRL B-1347	Actinobacteria	Streptomycetales	Streptomyces	1476877	8163	1	1	1	1	1	1	1	0
Serratia grimesii	Proteobacteria	Enterobacteriales	Serratia	82995	11018	1	1	1	1	0	1	0	0
Serratia plymuthica	Proteobacteria	Enterobacteriales	Serratia	82996	22658	1	1	1	1	0	1	0	0
